Collection;ID;sub-species;life-cycle;date;country;region;locality;Measured;cranium ;mandible ;mandible coronoid presence;Uh;Ch;Cb-1;Bb;Hb-1;Cb-2;Hb-2;;;;;;;;;;;;;
La Specola;22908;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;yes;no;no;no;no;;;;;;;;;;;;;
La Specola;22935;apuana;triphasic;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22933;apuana;triphasic;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22932;apuana;triphasic;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22931;apuana;triphasic;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22934;apuana;triphasic;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22924;apuana;undergoing metamorphosis;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22925;apuana;undergoing metamorphosis;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;no;yes;no;no;;;;;;;;;;;;;
La Specola;22929;apuana;undergoing metamorphosis;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;no;yes;yes;no;;;;;;;;;;;;;
La Specola;22936;apuana;undergoing metamorphosis;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;no;yes;no;no;;;;;;;;;;;;;
La Specola;22930;apuana;undergoing metamorphosis;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22927;apuana;paedomorphic;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;yes;yes;yes;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22926;apuana;paedomorphic;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;;;;;;;;;;;;;
La Specola;22928;apuana;paedomorphic;3/97;Italy;;Lago Baccio, Modena;yes;yes;yes;yes;yes;yes;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20401;apuana;triphasic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;20403;apuana;triphasic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;20402;apuana;triphasic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;20404;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20407;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20406;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20408;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20405;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20413;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20409;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20414;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20418;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20417;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20415;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20416;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20410;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20412;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;20411;apuana;paedomorphic;16/5/1991;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2685;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2686;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;yes;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2687;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;yes;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2754;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2755;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2756;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2757;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2758;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2759;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2760;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2761;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2797;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2822;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2823;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2824;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2825;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2931;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
MNHN;1992-2932;apuana;paedomorphic;10/08/1985 00:00;Italy;;Lago Secco, Accumoli;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;no;;;;;;;;;;;;;
