id;sub-species;life_cycle;country;locality;svl;r_interlimb_l;l_interlimb_l;body_h;head_l;head_w;head_h;r_lower_jaw_l;r_humerus;r_radius;r_metacarpus;r_toe_fore;r_femur;r_tibia;r_metatarsus;r_toe_hind;l_lower_jaw_l;l_humerus;l_radius;l_metacarpus;l_toe_fore;l_femur;l_tibia;l_metatarsus;l_toe_hind;tail
22905;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;41.03;18.39;18.39;8.1;10.4;7.81;4.82;7.29;6.12;4.7;1.83;2.72;5.4;3.3;1.93;2.64;7.8;5.49;3.95;1.62;2.31;6.24;3.5;1.96;2.89;30.95
22911;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;40.03;18.4;18.4;7.49;9.73;7.42;4.52;6.81;5.7;3.73;1.51;2.44;4.93;4.9;2.2;2.54;6.68;5.15;3.42;1.62;1.99;5.11;3.5;1.71;2.18;31
22904;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;41.75;18.7;18.73;8.8;10.31;7.95;4.99;7.16;5.14;3.51;2.3;2.23;5.34;3.96;2.8;2.72;7.14;6.1;3.75;1.65;2.77;5.52;3.66;2.14;2.54;31.74
22923;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;41.45;20.4;20.4;7.98;10.61;7.62;4.67;7.1;4.85;3.58;1.73;2.34;5.6;3.78;2.7;2.9;6.81;4.85;3.32;1.72;2.79;5.4;3.13;1.78;2.6;29.36
22906;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;41.64;19.76;19.76;7.9;9.79;7.47;4.38;7.22;5.69;3.74;1.77;2.53;5.4;3.78;2.7;2.87;7.63;5.68;3.18;1.72;2.58;5.55;3.21;2.9;2.95;30.34
22903;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;43.07;19.32;19.43;8.32;10.49;8.5;4.95;8;5.71;3.72;1.65;2.63;5.24;3.71;2.26;2.78;7.92;5.53;3.3;1.78;3.17;5.22;3.55;2.5;2.9;33.1
22914;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;45.42;22;22;8.13;10.32;8.13;5.3;7.89;5.38;4.14;1.86;2.54;5.5;3.64;2.16;2.95;7.8;5.45;3.36;1.71;3.1;5.6;3.4;2.1;2.91;33.69
22907;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;42.32;21.11;21.11;7.91;10.26;8.23;4.67;7.38;5.8;3.5;1.6;2.27;5.41;3.53;2.27;2.64;7.37;5.58;3.41;1.72;3.15;5.14;3.66;2.17;2.97;30
22900;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;43.99;18.98;18.98;8.49;12.36;8.9;5.32;8.65;6.5;3.82;2.11;2.9;6.12;3.72;1.94;3.2;8.8;6.12;3.67;2.24;2.97;5.96;3.9;2.32;2.99;32.43
22920;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;43.62;19.1;19.1;7.5;10.87;7.96;4.85;7.81;6.43;3.82;1.86;2.15;6.4;4.29;2.17;2.86;7.76;5.82;3.8;1.87;2.53;6.56;3.81;2.2;3.1;32.6
